Категория,Значение
D,695086.7138573267
A,807216.2235279088
D,52298.723638718344
B,281918.88309942547
A,391586.4202882552
B,283760.2387658319
D,989673.4218944134
D,574380.2224732076
B,917722.4161338706
D,511344.6450887893
A,968572.504593513
B,616400.743797292
A,706408.214578041
D,424276.48320132616
B,559965.6733042322
C,661998.0951265356
A,191346.79638070718
C,935654.425142294
A,660417.5610098718
C,408542.21015850524
D,204168.22601825168
A,329062.0466805605
D,315309.86081243184
C,885367.1564983497
A,710714.0094374955
D,645619.1924800214
D,990541.2297860694
B,852325.1441564647
D,95364.20194849183
D,304790.51196540485
D,396141.8121044612
D,107667.6578292003
A,135161.51158068268
C,414782.20977261174
D,67587.04764036539
B,371221.2803804947
B,541050.014889777
C,778126.6824165697
A,178465.94675568884
A,12843.936528397326
B,661810.9387889552
A,295104.90986714687
A,611782.9816063069
C,930728.2518847805
A,493709.1533041129
C,948374.1723815398
D,74862.68425874154
B,374037.20572602417
B,163486.23424956042
D,645871.098230322
A,458208.53975425556
D,223810.45290028202
A,210864.45829212552
C,339857.2103944371
D,612141.6662306212
C,762775.0570429813
D,304456.5376855256
B,174773.3608951235
D,576587.1423803755
C,442195.40477513266
A,380401.92721180787
A,732908.896506867
D,901500.9229752031
C,710843.9822307123
A,714492.960678786
B,442210.0964719393
C,466857.03360568377
C,66279.8645698125
D,883826.6445733949
A,693735.3787059028
B,395439.9358795767
B,955604.0744193854
A,690891.408036744
B,558001.1658581764
B,230254.9376488543
A,556712.122744878
C,684100.8746234967
A,216728.4898496673
B,611995.3822338003
B,787734.4771184623
C,329007.47859789524
C,469505.6180080489
C,341268.6130992101
A,974065.4033287315
C,325776.1958042852
A,473614.45840111625
A,140190.1335911684
A,566912.2563921337
D,694608.6520922353
D,151515.061914379
A,511069.29420516046
B,195302.05062959148
D,551335.308166309
A,40301.5300937084
C,800718.032016537
C,627182.0318595022
C,126445.59125167875
D,136059.8040548845
C,685044.5025696213
A,933875.3053288313
B,178678.4264285596
A,594780.592599635
A,192282.1990886704
D,104827.48922461482
D,574535.2856096133
B,547708.5018905503
C,585886.6331231188
C,494206.2250937731
C,852275.7973386857
C,624119.1893019741
A,986293.0015464034
A,114255.2043915902
B,340983.78217264713
A,955469.6274348632
D,220663.5614363085
A,262980.777938164
D,495558.92122913525
D,264995.159965673
A,630439.5620106764
A,49629.018310884174
B,871645.0462961328
D,91711.74210408106
D,599351.8608997897
D,801542.2875638022
B,722255.677064879
A,968186.5003032422
B,902260.8428030881
A,194669.12434175078
B,68038.08599135908
D,444569.01231840806
D,707245.3229260278
D,343837.12199575565
C,779603.8425015794
A,445379.6077129197
B,777888.811643065
C,119794.492658015
A,21470.321184892782
C,724379.8374692728
C,387469.63206489646
B,395424.6775396798
C,355977.8580990703
D,811020.640328829
A,794036.9340456052
C,34285.00306883242
B,379876.26658999483
C,493974.9149682009
B,913628.4781341719
D,385081.7113235659
C,615759.9194379891
B,901372.1803549733
B,701793.5894280873
C,573640.5248537401
B,151999.69030336925
C,765527.9612572449
C,247054.670391075
D,90284.58740098933
C,800761.9661159379
D,54929.941061822254
C,293631.9159229015
C,668136.9857498441
A,157426.31932294337
D,622426.2883422995
C,826769.1055138946
B,470270.01402975176
D,54751.828859371795
C,706246.3829244357
C,165329.42957505293
C,671465.6388281045
B,657278.2498703483
A,165921.63153022333
B,926556.5982880185
B,98130.01405417365
C,34873.37457699558
B,409514.66408998263
A,434165.413017097
D,484808.31047398644
B,795451.8840962746
B,326133.1519135712
D,494503.9705964498
D,938532.298412295
A,310389.20140062086
C,221964.26158351733
B,316469.5892575572
B,685265.7320537028
D,217044.70606297578
A,342358.6627192787
B,921807.9613722827
A,52894.03629881295
A,931057.0711174115
C,617439.3287916897
C,31782.30519275016
B,205632.0325686961
A,341954.9883520796
D,16540.23070344035
A,67636.33261667078
A,592563.7898535486
B,279813.58199806005
B,797326.4328160547
A,794844.1191169042
D,173458.05590967467
A,94621.84438051202
C,357392.75578364905
A,592343.6993526999
C,500654.9624293545
B,49468.23683309509
B,478840.9582264209
A,744570.6078810523
D,172640.83622664373
D,524462.108314035
A,22476.444546835617
C,206484.50846910337
B,926803.7414567212
B,342303.260745081
A,988417.7718105802
B,258277.59903739643
C,148282.58033280273
B,521896.4572665505
A,296410.9751692726
C,950862.1801924676
A,835701.2545592654
A,797669.0798681271
C,556746.3598040318
C,725087.971039568
B,653300.7563443651
D,589588.5733372761
C,686218.1055460579
C,1731.8235991554686
D,213688.34163389605
B,219835.2385451291
B,855620.1853829678
C,46531.53260712428
A,247207.5138878469
B,367536.0083668977
A,296625.4324273436
C,440608.8788336063
D,777692.7831962879
C,95515.70844992618
B,695259.3812670126
D,415558.68221326533
C,114785.12573710342
C,55427.324548416815
A,857185.6662374611
A,111950.925255068
D,580817.0451986291
B,874131.265997359
D,50220.17046848315
D,380393.50902131497
B,771163.2740407997
A,361997.0949253043
B,865425.8008834735
D,636603.9906140456
D,146022.75362282735
A,235302.72069903224
B,88253.87853806233
D,54065.293428906865
D,380612.96602588723
C,602140.5704454036
A,935372.4077413869
D,412461.9260105069
C,442221.7253261203
B,567757.0610711296
A,505481.87271994696
B,46586.366153715586
D,933159.0095962497
B,916664.7079183253
D,154330.7166997211
C,837358.947110681
B,170313.16297296272
C,261572.38508862656
C,945253.6808863089
D,901483.458796955
A,23469.9363033527
D,214570.78320024637
A,38438.51921527386
A,78669.55620838178
D,445719.3258949175
B,424603.04361232015
A,511224.92606172577
C,753174.4711253302
D,394669.4997891389
D,621736.9087444608
C,933886.0660425349
B,555093.2381550343
A,656280.5324944389
A,629808.6295915801
A,54624.63205158252
B,539293.7279635979
C,594427.9475599525
A,995172.0606290164
D,59693.931163703695
A,385474.31502241123
B,430132.67301578884
C,583477.7062247716
B,324008.1083276689
A,701466.4593214298
C,726303.6058269741
B,740470.6067803735
B,880083.630436518
C,233329.09552128444
B,66544.33379727053
D,563257.529927686
D,591392.156053515
C,365755.583614332
C,53305.1775823411
C,360394.0589737663
D,19464.0967736045
B,955074.0065126765
C,91755.74858677227
C,570638.1428591672
C,882155.8820783567
C,661214.859743941
D,677288.145216484
B,400703.46470101434
C,191345.59593407964
A,895429.3528222098
B,779118.16718623
A,858503.4201312606
A,954726.5278370084
A,285906.34109666303
B,960708.6122976627
A,336145.240502583
B,364363.05542379577
A,425666.6047051135
B,77508.44939240864
C,878394.4722317785
A,490465.9499839155
C,778288.8828260142
D,614427.5211225385
C,222783.2420640945
B,627686.199711856
A,953241.0831320271
B,528409.5350514392
C,489027.3186794064
A,664082.8352917021
B,251396.14000821364
B,384612.3718804437
C,40685.03733245355
B,789773.9890798668
C,548240.7054502601
D,517030.5691599628
D,43558.48744711188
A,807126.2378695544
D,13018.746084239363
B,471695.624932186
D,833969.807050919
D,332343.8660286763
C,289094.1390331198
A,781107.6910249238
A,245649.59417709874
B,630923.3144104716
A,481900.4415946691
A,590944.0305841347
B,265181.80127500044
D,426258.31323865935
B,75146.4753069614
A,151632.8186339968
C,292309.90175973857
A,529674.0649270805
A,430083.7326110013
D,191274.89901405002
D,974974.8458927409
C,594663.2055683229
A,411670.5868444059
D,710390.4457743163
D,523434.46629913506
A,43860.31391470246
D,503907.45123115386
A,967287.6455759592
B,352568.6132731737
B,800915.2659446885
A,379282.9414085429
B,894747.2174660766
B,352264.605434213
B,415774.23042429675
A,970191.3232402549
B,8650.173829543251
D,591989.2459671444
A,101386.81611458867
C,138923.7197045715
C,866797.8353379089
D,907942.7667580979
A,383580.15373688657
B,752132.2313275449
A,931228.7179627966
A,839127.4877149971
B,724759.8065423522
C,415744.457143048
A,350917.65773794334
C,768442.3147657112
D,862510.3509974286
B,427375.1613429062
C,629285.0928609539
B,209537.14663124268
A,331610.99359648925
D,714175.242082689
C,702733.3761215265
A,717759.4624569394
B,730908.7535703874
A,298874.54497567035
C,491523.53787954827
C,592531.0683857106
C,889030.6123209504
B,428547.03359664214
B,812735.9199091031
A,574364.787376668
C,336056.8244407992
C,95891.41610723728
B,195646.5996527149
C,443841.797757884
A,61408.07436711682
A,497314.95443928905
C,317185.45013360854
A,221586.11339649593
C,174248.82690868815
B,416329.79793520685
B,709005.6640549084
C,243409.04036672396
A,298518.898088462
B,433438.1710470845
B,651818.4144718482
D,711444.2615768474
A,986571.6357575211
A,530561.0864805167
A,592388.5102702505
A,845730.1837190404
A,821233.3299641351
C,620012.3244866433
B,959955.5955587217
A,834247.5259952743
D,541519.1774030864
C,564621.0225929447
B,468992.38808702095
C,952320.1845686595
D,602133.7098228879
A,595191.3853683263
B,569771.5611913933
D,877806.2794108005
C,439626.22531932127
C,637768.3568124057
A,141867.20927797013
C,771193.5090628349
B,881074.910560225
B,850714.7501803177
A,332995.06001490384
B,254180.78928643683
D,163653.0641220958
D,597764.6318746454
C,91107.96618149098
B,244473.79583120564
B,783966.7917262004
D,226307.77184030993
A,920116.573737621
D,525726.4497311234
C,294762.6414599839
C,522574.4720430261
B,232401.329797293
A,362050.1006514968
C,319736.29461540864
B,965824.9197032384
D,862015.5445765893
B,335811.7264508033
D,694638.2303960107
D,307157.44931992085
D,433901.7225559487
C,717282.4368399887
D,366258.861926394
C,307310.00749161694
B,403542.94913924
C,133562.24745195732
D,35576.48010456959
D,126833.86596508916
D,745464.8408159735
A,394913.5654831456
D,346895.24237261637
A,812157.435228244
C,351390.4399016148
D,82258.94959696879
D,11051.763790080106
C,866276.1884245217
B,545520.8772030978
B,508034.8004412819
A,519146.11535038956
B,352473.7302610987
A,665759.6589903877
A,458691.28316536586
A,227367.5581662712
C,417657.51613501465
B,921544.5779364095
B,616710.6084067592
D,485680.76302007976
B,930993.5619527526
D,973.1579780233312
B,455893.56242680334
C,168041.96565509477
C,340277.7552491465
A,196395.41342001344
C,330004.66382289975
D,798198.7646838152
D,182841.2143210627
A,174784.91298176002
D,430597.0963901714
D,173548.3932486539
C,735288.3468486718
D,453353.1870158712
B,697991.8165067033
C,949162.7492150085
D,152866.91983569213
D,347123.6927336435
B,503077.02253206156
A,638930.9272278927
B,467360.8282202827
D,384042.70498269465
B,889033.1887407859
D,463258.43946995115
B,130597.39034032247
C,755059.7378101911
D,581230.1716032617
B,398321.1872694681
D,662409.6723064322
B,727590.0545026002
C,780325.0628535462
C,185797.66381825836
B,991108.414622387
D,481101.06825602864
A,415533.13014808536
B,220965.88806978124
C,998925.7079995295
C,27331.519906946378
D,557243.5670848725
B,584746.464640384
B,517302.21034580417
D,851807.7761907144
C,444223.8992261265
A,188967.2796484336
A,955897.4201699558
D,71948.67847058839
D,816915.5323822484
D,421720.5620637018
B,994951.64848618
C,386993.573869738
B,476919.95816054556
C,736375.1787182717
C,953546.5214183476
C,718114.6929463675
B,843685.0869989182
B,900542.6047177154
B,361894.2379630458
D,565977.7690958667
D,653910.1990896416
D,209223.7167848432
A,381686.40143526334
A,920899.2090205565
C,793278.4563516545
C,688641.4821902895
C,23289.464264073744
C,410604.7548726843
B,261911.13685454038
D,128984.96327810294
D,750029.6479000528
A,541438.4105643146
B,912681.660272991
A,611389.6197036848
D,800733.0409300457
A,118324.6111731413
A,658331.1647635319
C,277136.68034158536
A,118758.87818339647
D,19920.216917937883
B,687388.0330360018
B,987690.9778112399
B,378263.3741948498
D,745934.898272922
A,706686.5622759399
C,115211.1323705436
C,423847.7079322228
C,318784.1987048605
C,271504.8861290652
D,420878.5222037141
B,500034.30282888806
C,154998.57456975308
A,73665.87317652263
B,983623.9567856311
B,866114.0113901038
B,445681.3732030348
C,991912.7713644687
A,705196.872372256
C,733331.3809725724
C,793414.7876492796
B,32155.748675543273
D,63778.50820001174
A,494651.0751708319
C,313944.6312775597
A,212758.32867983825
B,845211.1844538684
D,99165.80146055897
D,85781.13332470683
B,46781.45690434543
D,520997.12416453206
A,307565.6323963832
C,72360.24599808166
B,573927.0245774746
D,756492.0716168717
A,853146.7062671923
A,256519.81458678475
C,894986.5576065694
A,594630.4138497962
C,832958.3252541733
B,80475.89216598505
D,186435.52809103802
C,985649.7131164239
A,96490.37089245283
A,603523.9008778166
D,446701.6264409286
C,764138.1540799742
D,806317.1158420797
A,753904.3096201199
B,224494.71662139054
D,35351.46933429878
B,332335.9023765151
D,337827.68462944136
C,611728.7046995362
B,496750.40656802326
C,629913.8917447259
D,513421.2905280998
C,900912.7478103229
C,255138.43140195846
D,25555.703089119586
A,495364.5187780278
C,260101.39480219374
B,743236.2250706364
B,388227.5740770573
A,736826.1544626888
C,643645.6443080062
B,226509.76436361502
D,110883.76621060126
A,773680.7405928016
D,54327.124698047126
B,915504.9023551075
B,457073.09502783266
D,762664.7662941327
D,851783.3666421418
D,241719.71279797223
C,543635.8077109115
A,939882.7416935237
C,619141.8479206712
A,420865.4534966667
A,239631.17214386308
C,688258.2729307477
A,381970.1226041813
D,271162.93287180713
A,664943.4538833017
A,521296.4904546338
C,837318.0867364557
D,110518.2100152684
A,680820.0143923464
C,831162.3532432527
B,439993.5234016339
D,599565.0365137667
B,578941.5938263742
B,499343.3054263624
D,891051.0829188351
C,626313.2448277739
C,933207.6639804824
B,218350.49144457042
B,764249.1507042908
B,278511.5399724566
D,724872.7023153122
C,335394.6061788401
B,890599.4488686005
A,619199.9657577873
D,640905.7807580079
C,841022.7098881146
A,636454.6978696655
B,870892.5489560325
A,977315.7554886725
B,794638.8278128378
A,197953.75786838387
D,835910.0415709249
C,280139.15563306777
C,631335.6137464506
B,804264.1757985532
D,834025.1754698989
D,301449.78661060974
B,99106.16493669954
C,385896.11068147025
A,99812.02982771497
A,880942.5006503917
B,82246.31285305995
C,496422.8591811609
D,254408.97711352407
D,279825.05957127904
C,402060.47855460335
C,287484.08919721993
C,229815.48813608132
D,400850.1305319512
D,917850.948839512
C,842501.2772365301
B,731899.0143915887
A,110635.33762436673
A,553118.2040185274
D,126995.77064413326
D,579985.0203281143
B,880861.9683944881
D,251626.8008577811
A,868114.5178680628
A,581971.9208217013
C,864530.1210406944
A,691445.508940173
D,947097.7116498653
A,413300.9021546942
B,503774.9481394588
D,774299.6997532477
B,831998.3996906234
D,755828.4226391568
D,206129.27721095152
D,35725.96971716502
B,323471.1012586622
C,162437.83863380057
B,149033.60897563255
D,439644.89859917597
A,786972.2720599369
B,452857.271095201
C,310756.03152272344
A,253658.60457058396
D,298328.8509632096
C,115504.90230391164
B,654863.8158733463
A,487140.56284248794
A,813251.065852162
B,182007.24020092507
A,209371.8443552093
B,462063.8173277951
D,829891.6633967756
B,367224.5493807814
C,219138.5521086544
A,351539.1596844677
C,75256.21710222296
D,533401.8316416424
D,444738.9348559433
A,732196.9799368392
B,834253.0365018428
B,587274.7777536307
D,715023.7786641238
D,62492.11654235798
D,543138.2331611871
C,129979.55723142596
D,543597.6259416483
D,653771.5739296265
D,420909.63450262207
A,615749.0897909066
B,982791.1701755386
B,689215.1461250092
C,735447.812684115
B,875862.1411001511
D,654081.6560204171
B,916698.8207012323
B,113552.92541185813
A,568009.1855120518
B,501975.10687665845
C,807361.7775655362
A,446221.9819827756
D,367951.43206090055
C,616832.581262362
B,269081.20562026993
B,301714.4875847795
C,904315.6717919245
C,500934.6691513141
B,85694.7589899405
A,298339.69873379497
A,152082.36562140132
D,171322.1630728
A,983050.3457999794
C,362969.79022851004
A,332639.9868718325
C,433103.22236691887
B,283776.85416196584
A,855418.401460139
A,28987.96319634178
C,121147.5207348911
C,113686.3279560879
B,453717.2759411666
A,6650.496560634433
D,736912.5311749905
B,331897.95929051936
D,458151.0064298667
A,703326.307578195
D,78959.14985114493
D,635675.402323907
B,672197.8083609121
C,509751.5354103036
A,370597.8588694985
A,625070.6382949172
A,333123.3142424621
D,363754.58153885
C,879848.8653884926
A,307880.60991825594
C,556379.5162645903
C,193485.50864832304
C,828592.0876328741
D,943413.5392241215
D,683903.6438050056
C,460630.53868929803
B,624798.7507565727
D,219691.33540739515
A,691248.0998870519
C,725837.616800776
B,758205.3928780938
B,74329.71314965453
C,649711.1396887643
B,688340.013867094
C,513101.22004933836
D,384314.1918493833
A,195011.24893502152
D,769123.029485508
A,286653.37244647625
D,845508.4894897412
B,389952.858282244
B,164688.8296620479
B,341239.33100853866
B,32949.8104802598
C,437596.9643615617
A,909338.2999933125
B,764347.3076223877
C,250164.72738534745
D,996560.7480543251
B,659470.3856859109
D,10423.515107709225
D,328204.5628755582
A,753276.7843993142
D,150427.77012193698
C,310738.7695019582
C,307177.5585595117
A,59078.341782353826
B,240051.1279053701
C,119443.87777420551
C,568909.376686073
A,740312.9143686668
A,573431.8871272742
D,750128.9161725248
B,552484.9699026793
B,155594.08824562747
C,975577.1191372178
B,442291.86886418605
A,972065.1729999123
C,445082.72159984807
C,546189.357427106
B,534178.8583085913
D,684536.0265968066
C,274551.3628610323
C,107711.3781581135
C,694295.294789069
A,542651.9449430942
A,510217.48863106454
B,785999.2776605525
A,413724.1939926668
B,60180.42325971562
D,382250.0046396351
B,662806.4288568947
B,256770.26241591029
B,994987.5704967182
C,593690.1231237319
B,624493.1146882427
A,395179.41732122574
B,688737.0042298691
C,731802.2883442967
A,814502.232813646
C,832289.3517562376
B,508551.1622908304
B,889106.2910776777
B,867450.2464109007
D,226732.88086442323
A,411796.6694290052
B,419776.38092207647
D,58199.745579025745
D,747819.0867675876
A,130324.44836819168
B,19165.039988172317
D,950773.4277455319
C,867176.5650698818
B,803402.8713219762
D,948378.8638941764
C,680563.0770205706
A,492800.19821851375
C,634791.3496396611
A,650537.0146634842
B,20865.605768632613
D,794450.9589465844
C,185973.18274623054
D,367002.50715641613
D,83458.46880594321
A,766449.9477617358
D,272139.6855757
B,439811.76068379334
C,638492.1610366468
A,446604.24790240894
A,439943.7124618816
A,284683.4677408141
C,493262.0066963851
C,981082.004726979
D,109403.85427417688
D,664016.2174959416
D,777538.9028685426
A,696466.9537504151
D,323251.24373502325
C,187592.93797229437
C,352071.36799111706
C,82119.4188082811
B,446391.4676509675
A,763296.0720289112
C,33814.80637877865
A,481888.7210392495
A,472.8378919072185
A,534754.3755827938
C,900649.934658815
B,31240.39411916679
D,174110.40874737516
D,889382.0407365271
B,182339.24447758155
B,832779.4765017038
C,588794.0918951941
D,249156.42907078096
C,978983.2575715856
B,975968.7857748243
B,69835.19370798474
B,592405.6698370365
B,293296.98430247797
D,695036.1877364231
C,71478.53190973807
A,131128.43324257006
B,251441.44067380813
D,215897.25476581213
B,382372.97198495356
C,982668.8326279132
C,924015.5787332599
D,167988.58278379237
D,986789.7609186005
A,3488.071143207927
B,346675.7392489158
A,279555.48422994156
D,592651.3008394421
D,351907.84730709565
C,747998.739623923
C,840508.1449399007
C,501187.8926333992
D,439677.7166803217
B,520953.03708122566
A,55167.430059411825
D,87850.88925821715
C,388972.4800328664
D,137939.93842091534
A,942007.7692913075
B,418157.3083201557
C,929726.8407880064
C,278682.0591869272
D,453849.79427833273
D,493105.0644947472
D,149887.99629335426
B,998139.2551531111
C,83479.49289808665
B,665597.2627193892
B,263580.37297071645
C,150891.726981939
D,269052.7726276791
A,785918.8661352418
A,44621.51666943093
B,325469.3093196879
A,199972.6327508299
D,736381.7206904237
A,774839.5323245999
D,870414.7543219811
D,464024.436277941
C,168363.50564846347
C,931731.0070982339
D,624927.5593916938
D,312884.68226534716
D,257779.9082545318
B,450685.04998075444
A,800095.5193998248
B,216419.5820683843
A,533354.4061319936
D,876776.779995647
A,578672.3077963956
D,639869.7975667553
A,9753.17011968413
A,205318.4821515479
A,784908.2728409289
B,809479.4815908868
B,220362.72909206233
B,668349.5689640085
C,259060.44472110757
A,571634.7345475157
D,70329.33566748223
B,710083.6588052601
A,950305.1148755524
A,711116.118026144
C,345110.9678915355
C,142938.58619913124
A,940848.3178159535
B,344890.3775505666
D,332519.2481895643
C,108833.10939929403
C,224669.39081477988
C,481003.0520830841
B,125829.71527129605
A,882777.5096985608
D,652657.2194692787
B,741771.5155712243
D,554595.2365307262
A,51066.632280541206
D,183424.0599866729
D,984378.9480781682
A,104921.12417966138
C,940954.4669828037
C,903927.6830186177
D,23110.593308374173
B,153633.44618917542
A,831387.1197199422
B,332811.1306894339
C,744337.8369273703
D,710722.4676821432
D,410201.49337434163
B,141084.97578406477
C,658793.3023174334
C,9590.203728107594
D,210266.04421776606
C,462042.63089601573
B,255087.42378934313
A,697433.3561454277
A,183521.82690462892
C,485759.3764252038
A,102184.478291648
A,196948.6800802346
B,140309.0150196391
A,335072.6500506506
D,924754.6401320314
B,203296.48097260622
D,697992.6408529369
C,358372.5035314904
C,606186.2869693966
A,575136.5793490426
B,353476.5460157323
B,611116.1941511713
D,155116.4665924044
C,925649.3428904432
A,190443.20974762685
B,100807.39971358322
B,303441.44472932623
B,132037.93541710373
B,492349.36367422534
B,902833.0343442189
C,811581.9930339884
C,753640.5875620231
C,72371.12879860874
C,124290.9480427149
A,535734.7130217676
B,97508.85011677201
A,113093.0818168958
D,762676.0393057055
C,925345.1253570655
A,53344.24774782631
A,554711.3277883169
D,968254.5254706901
C,937801.8347623949
A,751271.3922164949
C,624586.691196548
B,976820.8051297462
A,683620.1566416081
C,517575.4966887043
B,722181.4541462174
D,216065.6819585881
C,997046.7952592864
D,883376.531890107
A,934536.4188336814
B,853209.9455013287
C,831813.558972584
D,288481.9910141291
D,463937.2969564305
B,566285.3572835464
C,472145.0467544791
A,100745.43170860228
A,439099.5760216247
A,916812.7507599444
C,39760.21881106862
A,178864.63388654694
B,951309.2586882431
C,866785.5739894693
B,37256.52050205852
B,879004.6707788613
B,640806.0330365107
B,670310.5399690581
A,153412.00800821898
A,307194.0248842898
B,494422.18289437314
D,634437.3250202776
B,336584.52444630885
D,52568.24975216123
A,309460.1401150316
B,955393.6252997528
D,769017.9201850821
A,546656.5861867436
B,496222.2577821966
B,843429.7598257217
B,864453.920633191
D,374461.0455955407
A,611595.9103849906
A,73346.94913763252
D,855366.5668225032
B,957398.2660716887
B,827965.7336921577
C,144055.4713964628
C,577128.1857400564
C,338867.9955744951
B,877546.8857446286
B,86023.57971107899
D,59469.02534357234
A,808315.6486060398
C,386808.74354296393
B,19965.50440697553
C,514563.30591638945
A,472675.3597539518
D,63251.30557227399
B,732214.9477277608
B,911220.0697967487
C,490492.8362157165
D,181634.47129784425
C,758336.672660211
D,128605.98375752264
C,722225.6645859601
A,160887.39702277232
D,672895.928546075
C,555042.01986442
D,255384.9577152232
D,345557.554748964
B,461745.2970938668
B,411247.96592669346
C,77520.02037289296
A,663470.4662727342
D,360464.5530682552
C,448643.1361418324
D,40682.72858587019
B,132854.8392774347
D,703651.6900910776
C,621629.1493157774
D,428614.8179004988
A,909037.5264740819
A,169872.21671407626
D,461644.8690442393
B,432959.7472259237
A,101087.53130655624
A,530043.9735967119
A,517110.5941878553
C,68999.25936915207
A,254416.38240459486
C,557431.0715061637
D,878983.607524095
B,604949.5952193179
B,407569.1964330885
A,912823.001888009
C,422621.1779739474
B,937671.0755312637
B,404346.7012163635
D,804069.338689918
A,400287.2239396531
D,750811.8696301485
A,96689.99428757941
C,858718.0754561729
A,452198.77428058675
C,61397.673254118046
A,654276.746700291
C,13392.109265560892
D,513731.2530774484
C,680746.0976969817
C,963948.0464506359
A,195070.99107501868
C,955677.6051172501
C,107142.1566682882
C,246474.7156407876
A,356861.7016217013
A,752616.488820287
A,478672.6299710771
C,637731.4207206889
B,396708.42455703404
C,758875.4823628379
B,786893.3918783971
C,878902.5656544437
C,657806.3432219853
B,60261.353034068874
C,845206.7217901766
A,157193.20773492462
B,38957.44616742902
A,515379.77564762003
B,564678.3620216589
D,564660.2708168468
A,729426.1761712619
D,716894.3426607087
A,675147.9495692282
A,274062.762575888
C,372098.68955789827
A,336028.99050699064
A,608565.9698529787
D,302777.42671420006
D,88282.53372101657
B,242021.899399384
A,582547.236033532
A,684626.337548972
A,568371.1566472932
B,173246.11364942556
A,664845.0072549616
B,161316.41109666694
C,421432.854736856
A,183191.67393715229
D,702647.7295432407
A,671395.6729346036
C,605572.5034192685
C,242723.37750006645
D,438439.2116719816
D,95881.34586744357
B,965317.8697956555
D,483795.04416909936
D,654982.9210473204
B,981750.3762898353
A,435339.026063107
B,559995.5349286488
C,469855.89312851825
C,613500.9858220177
B,176789.67880183517
A,555306.6877909334
D,713636.4990012444
A,16034.982052192781
B,445300.62330950284
B,715673.0496583492
B,315648.33114239335
D,787436.1713251943
B,227560.88441613075
C,670704.745917205
A,561711.6822659987
D,363659.8746509058
A,936582.6174542196
D,953182.5132248007
A,207356.6499260193
B,251115.09867740067
D,405920.5444100322
D,415697.52274834795
B,513462.65544263483
B,620901.7703828702
B,559408.8849870757
C,610352.8173946103
C,256530.55888961584
B,275784.05072144576
C,77079.52343149716
B,389271.4893799809
A,929753.2083069566
C,311268.94662383985
C,955389.036554115
A,289130.0678127379
C,232969.40568338352
